competencia,codigo_uf,sigla_uf,estado,regiao,internacoes,permanencia_media,obitos,taxa_mortalidade,leitos_sus,populacao,internacoes_por_100k_hab,leitos_sus_por_10k_hab,internacoes_por_leito,variacao_mensal_internacoes_pct,tercil_pressao_assistencial
2026-02,13,AM,Amazonas,Norte,20400,4.5,618,3.03,5470,4360926,467.79,12.54,3.729,-6.2,baixo
2026-02,14,RR,Roraima,Norte,2961,7.0,74,2.5,1332,761012,389.09,17.5,2.223,14.02,baixo
2026-02,15,PA,Pará,Norte,45674,4.3,1325,2.9,11517,8756324,521.61,13.15,3.966,-3.53,medio
2026-02,16,AP,Amapá,Norte,4640,4.4,116,2.5,1391,809953,572.87,17.17,3.336,-6.03,alto
2026-02,17,TO,Tocantins,Norte,9024,4.9,287,3.18,2777,1595994,565.42,17.4,3.25,1.58,medio
2026-02,21,MA,Maranhão,Nordeste,38144,5.0,1180,3.09,13339,7024557,543.01,18.99,2.86,-6.14,medio
2026-02,22,PI,Piauí,Nordeste,17915,5.0,638,3.56,6129,3392617,528.06,18.07,2.923,-8.27,medio
2026-02,23,CE,Ceará,Nordeste,46201,5.7,1846,4.0,15944,9302211,496.67,17.14,2.898,-5.01,medio
2026-02,24,RN,Rio Grande do Norte,Nordeste,16589,5.0,607,3.66,6226,3463737,478.93,17.97,2.664,-6.48,baixo
2026-02,25,PB,Paraíba,Nordeste,19393,5.2,991,5.11,7558,4182828,463.63,18.07,2.566,-6.07,baixo
2026-02,26,PE,Pernambuco,Nordeste,51040,5.1,2063,4.04,16096,9583176,532.6,16.8,3.171,-1.57,medio
2026-02,27,AL,Alagoas,Nordeste,13588,5.6,593,4.36,5558,3221128,421.84,17.25,2.445,-4.15,baixo
2026-02,28,SE,Sergipe,Nordeste,10654,5.4,491,4.61,2731,2307255,461.76,11.84,3.901,4.21,baixo
2026-02,29,BA,Bahia,Nordeste,78346,4.8,3117,3.98,24712,14889472,526.18,16.6,3.17,0.54,medio
2026-02,31,MG,Minas Gerais,Sudeste,127795,4.7,5487,4.29,29339,21460311,595.49,13.67,4.356,-2.58,alto
2026-02,32,ES,Espírito Santo,Sudeste,25223,4.8,948,3.76,5970,4150692,607.68,14.38,4.225,1.68,alto
2026-02,33,RJ,Rio de Janeiro,Sudeste,72018,6.0,4581,6.36,21025,17225410,418.09,12.21,3.425,-1.26,baixo
2026-02,35,SP,São Paulo,Sudeste,226428,5.1,10779,4.76,54700,46179008,490.33,11.85,4.139,-2.95,baixo
2026-02,41,PR,Paraná,Sul,88527,4.0,3172,3.58,19414,11952456,740.66,16.24,4.56,-4.06,alto
2026-02,42,SC,Santa Catarina,Sul,53796,4.0,2003,3.72,11787,8312759,647.15,14.18,4.564,-5.22,alto
2026-02,43,RS,Rio Grande do Sul,Sul,67798,5.7,3255,4.8,20345,11233317,603.54,18.11,3.332,-2.66,alto
2026-02,50,MS,Mato Grosso do Sul,Centro-Oeste,16691,4.9,708,4.24,4042,2946317,566.5,13.72,4.129,-4.31,alto
2026-02,51,MT,Mato Grosso,Centro-Oeste,20512,4.4,618,3.01,6118,3950330,519.25,15.49,3.353,-3.42,medio
2026-02,52,GO,Goiás,Centro-Oeste,36121,4.4,1205,3.34,11969,7495033,481.93,15.97,3.018,0.05,baixo
2026-02,53,DF,Distrito Federal,Centro-Oeste,18277,5.8,539,2.95,4964,3009996,607.21,16.49,3.682,-6.23,alto
2026-03,11,RO,Rondônia,Norte,13252,5.0,441,3.33,4203,1757338,754.1,23.92,3.153,17.15,alto
2026-03,12,AC,Acre,Norte,5087,4.8,158,3.11,1470,887794,572.99,16.56,3.461,13.57,medio
2026-03,13,AM,Amazonas,Norte,23276,4.4,769,3.3,5509,4360926,533.74,12.63,4.225,14.1,baixo
2026-03,14,RR,Roraima,Norte,3082,8.0,100,3.24,1348,761012,404.99,17.71,2.286,4.09,baixo
2026-03,15,PA,Pará,Norte,50991,4.3,1417,2.78,11571,8756324,582.33,13.21,4.407,11.64,medio
2026-03,16,AP,Amapá,Norte,5420,4.9,161,2.97,1440,809953,669.17,17.78,3.764,16.81,alto
2026-03,17,TO,Tocantins,Norte,9574,5.0,364,3.8,2870,1595994,599.88,17.98,3.336,6.09,medio
2026-03,21,MA,Maranhão,Nordeste,42301,5.1,1412,3.34,13300,7024557,602.19,18.93,3.181,10.9,medio
2026-03,22,PI,Piauí,Nordeste,18124,5.0,704,3.88,6129,3392617,534.22,18.07,2.957,1.17,baixo
2026-03,23,CE,Ceará,Nordeste,52606,5.6,2178,4.14,15938,9302211,565.52,17.13,3.301,13.86,medio
2026-03,24,RN,Rio Grande do Norte,Nordeste,18608,4.7,733,3.94,6284,3463737,537.22,18.14,2.961,12.17,baixo
2026-03,25,PB,Paraíba,Nordeste,22978,5.2,1208,5.26,7566,4182828,549.34,18.09,3.037,18.49,medio
2026-03,26,PE,Pernambuco,Nordeste,58126,5.0,2454,4.22,16021,9583176,606.54,16.72,3.628,13.88,alto
2026-03,27,AL,Alagoas,Nordeste,15220,5.9,724,4.76,5406,3221128,472.51,16.78,2.815,12.01,baixo
2026-03,28,SE,Sergipe,Nordeste,11258,5.8,568,5.05,2756,2307255,487.94,11.94,4.085,5.67,baixo
2026-03,29,BA,Bahia,Nordeste,83861,4.7,3105,3.7,24916,14889472,563.22,16.73,3.366,7.04,medio
2026-03,31,MG,Minas Gerais,Sudeste,139157,4.6,5811,4.18,29389,21460311,648.44,13.69,4.735,8.89,alto
2026-03,32,ES,Espírito Santo,Sudeste,26226,4.7,1031,3.93,5987,4150692,631.85,14.42,4.38,3.98,alto
2026-03,33,RJ,Rio de Janeiro,Sudeste,81028,5.8,4795,5.92,21105,17225410,470.4,12.25,3.839,12.51,baixo
2026-03,35,SP,São Paulo,Sudeste,251044,5.0,11637,4.64,54688,46179008,543.63,11.84,4.59,10.87,baixo
2026-03,41,PR,Paraná,Sul,93379,4.0,3164,3.39,19421,11952456,781.25,16.25,4.808,5.48,alto
2026-03,42,SC,Santa Catarina,Sul,58579,4.1,2071,3.54,11770,8312759,704.69,14.16,4.977,8.89,alto
2026-03,43,RS,Rio Grande do Sul,Sul,73467,5.7,3337,4.54,20252,11233317,654.01,18.03,3.628,8.36,alto
2026-03,50,MS,Mato Grosso do Sul,Centro-Oeste,16986,4.7,693,4.08,4039,2946317,576.52,13.71,4.205,1.77,medio
2026-03,51,MT,Mato Grosso,Centro-Oeste,22955,4.2,688,3.0,6158,3950330,581.09,15.59,3.728,11.91,medio
2026-03,52,GO,Goiás,Centro-Oeste,39076,4.6,1346,3.44,11904,7495033,521.36,15.88,3.283,8.18,baixo
2026-03,53,DF,Distrito Federal,Centro-Oeste,20349,5.8,591,2.9,5014,3009996,676.05,16.66,4.058,11.34,alto
2026-04,11,RO,Rondônia,Norte,12322,4.7,358,2.91,4167,1757338,701.17,23.71,2.957,-7.02,alto
2026-04,12,AC,Acre,Norte,4951,4.7,112,2.26,1422,887794,557.67,16.02,3.482,-2.67,medio
2026-04,13,AM,Amazonas,Norte,23388,4.2,588,2.51,5503,4360926,536.31,12.62,4.25,0.48,medio
2026-04,14,RR,Roraima,Norte,3013,6.0,80,2.66,1348,761012,395.92,17.71,2.235,-2.24,baixo
2026-04,15,PA,Pará,Norte,49732,4.2,1419,2.85,11614,8756324,567.96,13.26,4.282,-2.47,medio
2026-04,16,AP,Amapá,Norte,5563,4.6,117,2.1,1422,809953,686.83,17.56,3.912,2.64,alto
